date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,elo_home,elo_away,diferencia_elo,resultado,puntos_home,puntos_away,dif_goles_home,dif_goles_away,peso_torneo
1934-04-15,Luxembourg,France,1.0,6.0,FIFA World Cup qualification,Luxembourg,Luxembourg,False,1286.0,1599.0,-313.0,A,0,3,-5.0,5.0,5
1934-04-29,Hungary,Bulgaria,4.0,1.0,FIFA World Cup qualification,Budapest,Hungary,False,1929.0,1464.0,465.0,H,3,0,3.0,-3.0,5
1934-04-29,Belgium,Netherlands,2.0,4.0,FIFA World Cup qualification,Antwerp,Belgium,False,1651.0,1769.0,-118.0,A,0,3,-2.0,2.0,5
1934-04-29,Czechoslovakia,Hungary,2.0,2.0,Central European International Cup,Prague,Czechoslovakia,False,1832.0,1929.0,-97.0,D,1,1,0.0,0.0,5
1934-04-29,Romania,Yugoslavia,2.0,1.0,FIFA World Cup qualification,Bucharest,Romania,False,1577.0,1653.0,-76.0,H,3,0,1.0,-1.0,5
1934-05-10,Hungary,England,2.0,1.0,Friendly,Budapest,Hungary,False,1828.0,2006.0,-178.0,H,3,0,1.0,-1.0,1
1934-05-10,Netherlands,France,4.0,5.0,Friendly,Amsterdam,Netherlands,False,1706.0,1624.0,82.0,A,0,3,-1.0,1.0,1
1934-05-15,Philippines,Japan,3.0,4.0,Far Eastern Championship Games,Manila,Philippines,False,1248.0,1200.0,48.0,A,0,3,-1.0,1.0,5
1934-05-16,Czechoslovakia,England,2.0,1.0,Friendly,Prague,Czechoslovakia,False,1832.0,2006.0,-174.0,H,3,0,1.0,-1.0,1
1934-05-27,Netherlands,Switzerland,2.0,3.0,FIFA World Cup,Milan,Italy,True,1706.0,1543.0,163.0,A,0,3,-1.0,1.0,3
1934-05-27,Egypt,Hungary,2.0,4.0,FIFA World Cup,Naples,Italy,True,1698.0,1828.0,-130.0,A,0,3,-2.0,2.0,3
1934-05-27,Czechoslovakia,Romania,2.0,1.0,FIFA World Cup,Trieste,Italy,True,1832.0,1577.0,255.0,H,3,0,1.0,-1.0,3
1934-05-27,Belgium,Germany,2.0,5.0,FIFA World Cup,Florence,Italy,True,1548.0,1667.0,-119.0,A,0,3,-3.0,3.0,3
1934-05-27,Argentina,Sweden,2.0,3.0,FIFA World Cup,Bologna,Italy,True,2071.0,1828.0,243.0,A,0,3,-1.0,1.0,3
1934-05-31,Czechoslovakia,Switzerland,3.0,2.0,FIFA World Cup,Turin,Italy,True,1832.0,1543.0,289.0,H,3,0,1.0,-1.0,3
1934-05-31,Germany,Sweden,2.0,1.0,FIFA World Cup,Milan,Italy,True,1667.0,1828.0,-161.0,H,3,0,1.0,-1.0,3
1934-05-31,Italy,Spain,1.0,1.0,FIFA World Cup,Florence,Italy,False,1740.0,2026.0,-286.0,D,1,1,0.0,0.0,3
1934-06-01,Italy,Spain,1.0,0.0,FIFA World Cup,Florence,Italy,False,1740.0,2026.0,-286.0,H,3,0,1.0,-1.0,3
1934-06-03,Czechoslovakia,Germany,3.0,1.0,FIFA World Cup,Rome,Italy,True,1832.0,1667.0,165.0,H,3,0,2.0,-2.0,3
1934-06-10,Italy,Czechoslovakia,2.0,1.0,FIFA World Cup,Rome,Italy,False,1740.0,1832.0,-92.0,H,3,0,1.0,-1.0,3
1934-06-17,Denmark,Sweden,3.0,5.0,Nordic Championship,Copenhagen,Denmark,False,1728.0,1828.0,-100.0,A,0,3,-2.0,2.0,5
1934-07-01,Sweden,Norway,3.0,3.0,Nordic Championship,Stockholm,Sweden,False,1828.0,1569.0,259.0,D,1,1,0.0,0.0,5
1934-07-03,Finland,Denmark,2.0,1.0,Nordic Championship,Helsinki,Finland,False,1484.0,1728.0,-244.0,H,3,0,1.0,-1.0,5
1934-07-18,Uruguay,Argentina,2.0,2.0,Friendly,Montevideo,Uruguay,False,1967.0,2071.0,-104.0,D,1,1,0.0,0.0,1
1934-08-08,Estonia,Finland,1.0,1.0,Friendly,Tallinn,Estonia,False,1286.0,1484.0,-198.0,D,1,1,0.0,0.0,1
1934-08-10,Estonia,Hungary,2.0,2.0,Friendly,Tallinn,Estonia,False,1286.0,1828.0,-542.0,D,1,1,0.0,0.0,1
1934-08-14,Latvia,Finland,1.0,1.0,Friendly,Riga,Latvia,False,1358.0,1484.0,-126.0,D,1,1,0.0,0.0,1
1934-08-15,Argentina,Uruguay,1.0,0.0,Friendly,Avellaneda,Argentina,False,2071.0,1967.0,104.0,H,3,0,1.0,-1.0,1
1934-09-02,Norway,Finland,4.0,2.0,Nordic Championship,Oslo,Norway,False,1569.0,1484.0,85.0,H,3,0,2.0,-2.0,5
1934-09-02,Czechoslovakia,Yugoslavia,3.0,1.0,Friendly,Prague,Czechoslovakia,False,1832.0,1653.0,179.0,H,3,0,2.0,-2.0,1
1934-09-23,Finland,Sweden,5.0,4.0,Nordic Championship,Helsinki,Finland,False,1484.0,1828.0,-344.0,H,3,0,1.0,-1.0,5
1934-09-23,Norway,Denmark,3.0,1.0,Nordic Championship,Oslo,Norway,False,1569.0,1728.0,-159.0,H,3,0,2.0,-2.0,5
1934-09-23,Sweden,Latvia,3.0,1.0,Friendly,Stockholm,Sweden,False,1828.0,1358.0,470.0,H,3,0,2.0,-2.0,1
1934-09-29,Wales,England,0.0,4.0,British Home Championship,Cardiff,Wales,False,1476.0,2006.0,-530.0,A,0,3,-4.0,4.0,5
1934-10-07,Denmark,Germany,2.0,5.0,Friendly,Copenhagen,Denmark,False,1728.0,1667.0,61.0,A,0,3,-3.0,3.0,1
